id_alimento;Grupo;Fuente;Alimento;Energia_kcal;Proteina_g;Grasa_total_g;Carbohidratos_g;Fibra_g;AGS_g;AGM_g;AGPI_g;Colesterol_mg;Calcio_mg;Fosforo_mg;Hierro_mg;Potasio_mg;Sodio_mg;Zinc_mg;VitaminaC_mg;VitaminaA_ug_ERE;Folatos_ug;VitaminaB12_ug
1;Cereales, Tuberculos y platanos ;;Amaranto, grano seco;381,07;14,45;6,51;66,17;9,3;1,66;1,43;2,89;0;153;455;7,59;366;21;3,18;4;0;49;
2;Cereales, Tuberculos y platanos ;2;Arroz blanco grano largo, cocido;125,96;2,69;0,28;28,17;0,4;0,08;0,09;0,08;0;10;43;0,2;35;382;0,49;0;0;3;0
3;Cereales, Tuberculos y platanos ;;Arroz blanco, grano corto;347,28;6,5;0,52;79,15;;0,14;0,16;0,14;0;3;95;0,8;76;1;1,1;0;;6;
4;Cereales, Tuberculos y platanos ;2;Arroz blanco, grano corto, cocido;126,07;2,36;0,19;28,73;;0,05;0,06;0,05;0;1;33;0,2;26;0;0,4;0;;2;0
5;Cereales, Tuberculos y platanos ;;Arroz blanco, grano largo crudo;354,26;7,13;0,66;79,95;1,3;0,18;0,21;0,18;0;28;115;0,8;115;5;1,09;0;0;8;
6;Cereales, Tuberculos y platanos ;2;Arroz blanco, grano largo, parbolizado, cocido;119,17;2,91;;26,05;0,9;0,07;0,07;0,09;0;19;55;0,24;56;2;0,37;0;;3;0
7;Cereales, Tuberculos y platanos ;;Arroz blanco, grano largo, parbolizado, crudo;362,87;7,51;1,03;80,89;1,8;0,29;0,26;0,32;0;71;153;0,74;174;2;1,02;0;0;8;
8;Cereales, Tuberculos y platanos ;2;Arroz blanco, grano medio, cocido;125,77;2,38;0,21;28,59;;0,06;0,07;0,06;;;37;0,2;29;0;0,42;0;;2;0
9;Cereales, Tuberculos y platanos ;;Arroz blanco, grano medio, crudo;349,02;6,61;0,58;79,34;;0,16;0,18;0,16;;;108;0,8;86;1;1,16;0;;9;
10;Cereales, Tuberculos y platanos ;1;Arroz blanco, pulido, enriquecido,precocido;369,02;7,82;0,94;82,32;1,9;0,15;0,14;0,22;;;118;6,3;27;10;1,43;0;0;466;0
11;Cereales, Tuberculos y platanos ;;Arroz integral, grano largo cocido;122,01;2,74;0,97;25,58;1,6;0,26;0,37;0,37;0;3;103;0,56;86;4;0,71;0;0;9;
12;Cereales, Tuberculos y platanos ;2;Arroz integral, grano largo crudo;363,96;7,54;3,2;76,25;3,6;0,59;1,05;1;0;9;311;1,29;250;5;2,13;0;0;23;0
13;Cereales, Tuberculos y platanos ;;Arroz integral, grano medio, cocido;110,79;2,32;0,83;23,51;1,8;0,17;0,3;0,3;;;77;0,53;79;1;0,62;0;0;4;
14;Cereales, Tuberculos y platanos ;2;Arroz integral, grano medio, crudo;358,8;7,5;2,68;76,17;3,4;0,54;0,97;0,96;;;264;1,8;268;4;2,02;0;0;20;0
15;Cereales, Tuberculos y platanos ;;Arroz precocido, eriquecido, crudo;369,02;7,82;0,94;82,32;1,9;0,15;0,14;0,22;0;;118;6,3;27;10;1,43;0;0;275;
16;Cereales, Tuberculos y platanos ;2;Arroz, tipo arrocillo, crudo;354,26;7,13;0,66;79,95;1,3;0,18;0,21;0,18;0;28;115;0,8;115;5;1,09;0;0;8;0
17;Cereales, Tuberculos y platanos ;;Avena, hojuelas, sin fortificar, Mosh;394,74;16,89;6,9;66,27;10,6;1,22;2,18;2,54;0;;523;4,72;429;2;3,97;0;0;56;
18;Cereales, Tuberculos y platanos ;1;Avena, molida, Quaker;372,9;15,5;6,1;64;10,9;1,08;1,92;2,23;0;357;357;28,93;354;286;3,07;0;1072;464;0
19;Cereales, Tuberculos y platanos ;;Brazo gitano, relleno de dulce, promedio;231,58;3,99;8,18;35,5;;;;;;;92;0,59;67;178;0,35;;;;
20;Cereales, Tuberculos y platanos ;2;Cebada perlada;360,96;9,91;1,16;77,72;15,6;0,24;0,15;0,56;0;29;221;2,5;280;9;213;0;1;23;0
21;Cereales, Tuberculos y platanos ;1;Cebada, perlada, grano entero;364,54;12,48;2,3;73,48;17,3;0,48;0,29;1,11;0;33;264;3,6;452;12;2,77;0;1;19;0
22;Cereales, Tuberculos y platanos ;;Cebada, tapioca, perlada, seca;355,7;0,19;0,02;88,69;0,9;0;0;0;0;20;7;1,58;11;1;0,12;0;0;4;
23;Cereales, Tuberculos y platanos ;1;Centeno, grano, crudo;360,58;14,76;2,5;69,76;14,6;0,29;0,3;1,12;0;33;374;2,67;264;6;3,73;0;1;60;0
24;Cereales, Tuberculos y platanos ;;Cereal desayuno, amaranto, horneado, Nutrial;404,55;13,64;4,55;77,27;;0;0;0;0;;;;;68,18;;;;;
25;Cereales, Tuberculos y platanos ;2;Cereal desayuno, arroz crocante;391,46;7,32;1,22;87,8;0;0;;;0;0;98;30,73;98;585;18,29;14,6;731,7;878;8,78
26;Cereales, Tuberculos y platanos ;;Cereal desayuno, arroz crocante;389,7;4,8;1,3;89,7;8,4;0,5;0,2;0,5;0;7;52;6;113;357;5;20;467;333;
27;Cereales, Tuberculos y platanos ;2;Cereal desayuno, arroz crocante sabor a chocolate;389,97;3,33;3,33;86,67;1,7;0;;;0;0;;6;;300;5;0;500,1;;2
28;Cereales, Tuberculos y platanos ;;Cereal desayuno, con pasas, Kellog’s;364,52;7,72;2,72;77,29;11,4;0,48;0,34;0,95;0;43;347;12,33;653;356;3,39;0;386;201;
29;Cereales, Tuberculos y platanos ;1;Cereal desayuno, corn flakes con miel, Kellog’s;392,3;6,8;1,9;87;3,4;0,3;1;0,6;;;60;6,2;102;700;0,3;20;502;553;5
30;Cereales, Tuberculos y platanos ;;Cereal desayuno, de arroz, con quinoa y chia, sabor a chile, Livekuna;448,57;8,57;14,29;71,43;2,86;2,86;4,29;8,57;;;;;;514,29;;;;;
31;Cereales, Tuberculos y platanos ;1;Cereal desayuno, froot loops, trix, Kellog’s;397,98;5,04;3,1;87,48;2,5;1,52;0,43;0,68;;;112;20,4;120;501;19;47;467;585;7,07
32;Cereales, Tuberculos y platanos ;;Cereal desayuno, granola, con miel y pasas, Schullo;471,11;15,56;17,78;62,22;8,89;2,22;11,11;3,33;0;;;;;66,67;;;;;
33;Cereales, Tuberculos y platanos ;2;Cereal desayuno, granola, con trigo y miel;441,38;10,55;11,62;73,65;10,2;1,24;6,6;2,68;;;357;392;483;50;2,95;0,2;2;37;0,17
34;Cereales, Tuberculos y platanos ;;Cereal desayuno, granola, muesli con frutas secas y nueces, promedio;393,4;8;4,6;80;5;0,85;2,12;1,14;;;273;2;279;376;1,1;0;0;13;
35;Cereales, Tuberculos y platanos ;2;Cereal desayuno, granola, preparada en casa;488,99;13,67;24,31;53,88;8,9;3,96;10,95;7,81;0;;431;3,95;539;26;4,17;1,2;1;84;0
36;Cereales, Tuberculos y platanos ;;Cereal desayuno, hojuelas azucaradas, zucaritas, Kellog’s;379,08;3,3;0,52;90,3;3,2;0,17;0,09;0,3;0;5;34;14,5;73;479;0,18;20;517;543;
37;Cereales, Tuberculos y platanos ;2;Cereal desayuno, hojuelas de maíz, original, Kellog’s;370;7,5;0,4;84,1;3,3;0,12;0,07;0,2;0;5;102;28,9;168;729;1;21;490;34;357
38;Cereales, Tuberculos y platanos ;;Cereal desayuno, hojuelas de trigo, All-bran;393,62;13,14;4,9;74,24;29,3;0,64;0,67;2,11;0;;1150;17,6;1020;242;12,4;20;525;2198;
39;Cereales, Tuberculos y platanos ;1;Cereal desayuno, Nesquik, sabor chocolate, Nestlé;408,6;5;5,4;85;0;1,3;;;;;133;15;223;615;12,5;20;501;553;5
40;Cereales, Tuberculos y platanos ;;Cereal desayuno, Special K, Kellog’s;381;17,8;1,8;73,4;1,4;0,4;0,3;0,4;0;23;48;28;53;667;0,7;68;500,1;1290;
41;Cereales, Tuberculos y platanos ;7;Cereal para niños, de trigo y leche, Cerelac;413,5;15;9,5;67;2;4,26;3,2;1,94;;;;;;150;;;;;
42;Cereales, Tuberculos y platanos ;;Chibil, masa de maíz, cocido al vapor, comercialmente preparado;261,2;4,54;17,64;21,07;;;;;;52;119;27,99;88;461;0,92;;;;
43;Cereales, Tuberculos y platanos ;7;Cous-cous, crudo, Dececco;349,5;13;1,5;71;3,4;0,2;;;;;;;;0,01;;;;;
44;Cereales, Tuberculos y platanos ;;Emborrajados, guineo, harina de trigo, frito, comercialmente preparado;211,99;2,42;7,79;33,05;;;;;;21;172;5,22;804;76;1,66;;;;
45;Cereales, Tuberculos y platanos ;7;Empanada, de morocho, con carne, Tasty;137,5;6,25;2,5;22,5;0;0,63;1,25;0;5;;;;;;;;;;
46;Cereales, Tuberculos y platanos ;;Empanadas, de viento, harina de trigo, frito, comercialmente preparado;356,75;8,72;12,15;53,13;;;;;;16;145;1,61;61;;0,61;;;;
47;Cereales, Tuberculos y platanos ;7;Galletas de dulce, con crema, sabor a fresa, Festival;467,26;5,95;14,88;77,38;0;7,44;5,95;1,49;0;;;;;193,45;;;;;
48;Cereales, Tuberculos y platanos ;;Galletas dulces, con chispas de chocolate, promedio;455;5,8;15,4;73,3;3,6;3,81;6,09;4,65;;;84;3,07;123;377;0,7;0;0;115;
49;Cereales, Tuberculos y platanos ;1;Galletas dulces, de chocolate, promedio;443,8;6,6;14,2;72,4;3,4;4,24;4,86;4,15;2;31;132;4,01;210;580;1,09;0;3;96;0,09
50;Cereales, Tuberculos y platanos ;;Galletas dulces, tipo María, promedio;481,9;5,1;21,1;67,9;0,8;5,43;11,84;2,66;51;21;80;2,14;63;357;0,43;0;26;82;
51;Cereales, Tuberculos y platanos ;1;Galletas dulces, tipo wafle con relleno, promedio;515,5;4,1;24,3;70,1;0,6;3,62;10,33;9,16;;;56;1,95;59;147;0,35;0;0;84;0
52;Cereales, Tuberculos y platanos ;;Galletas, de agua, tipo saltinas, con sal, Soda;422,67;9,22;11,35;70,91;3;1,66;7;1,25;0;68;101;5,69;154;1072;0,83;0;0;215;
53;Cereales, Tuberculos y platanos ;1;Galletas, de avena, promedio;462,5;6,2;18,1;68,7;2,8;4,52;10,02;2,54;0;37;138;2,58;142;383;0,79;1;5;95;0
54;Cereales, Tuberculos y platanos ;;Galletas, Melvas con chocolate, Delipan;519,48;6,66;26,64;63,27;;16,65;8,33;3,33;;;;0,03;;49,95;;;;;
55;Cereales, Tuberculos y platanos ;7;Galletas, orejas tradicionales, Delipan;519,48;6,66;26,64;63,27;;13,32;9,99;3,33;29,97;;;;;299,7;;;;;
